"M_Topic","L_Topic","year","mean","sd","N","norm","allwords"
"M_Topic0","L_Topic1",1994,0.004114695,0.008104473,253,0.670178052,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1995,0.006814383,0.015886277,271,1.109887722,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1996,0.004669559,0.008220599,234,0.760551089,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1997,0.00480548,0.0096088,240,0.782689028,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1998,0.005880424,0.011799935,257,0.957769802,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",1999,0.006194899,0.011154829,227,1.008989767,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2000,0.005505507,0.012492678,236,0.896705448,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2001,0.00685436,0.014684964,249,1.116398896,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2002,0.006308491,0.012148044,263,1.027490977,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2003,0.006754586,0.012097769,262,1.10014831,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2004,0.007530094,0.015694529,270,1.226458642,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2005,0.006311999,0.014939533,288,1.028062328,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2006,0.006943207,0.016171003,321,1.130869788,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2007,0.005817365,0.011237615,288,0.947499042,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2008,0.005771767,0.01301391,346,0.940072448,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic0","L_Topic1",2009,0.005723656,0.012504181,351,0.932236352,"harm_M.8.M, harm_M.4.M, harm_M.11.M, harm_M.1.M, harm_m.4.M, harm_m.11.M, harm_X7.8.M, harm_m7.7.M, harm_m7.2.M, harm_M.8.m"
"M_Topic1","L_Topic2",1960,0.004037206,0.007452563,451,1,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
"M_Topic1","L_Topic2",1961,0.004166268,0.00848741,492,1.031968037,"harm_M.7.m, timb_31, harm_X7.7.m, harm_M.7.m7, harm_m7.10.m, timb_29, harm_m.9.m, harm_m.9.m7, harm_NA, harm_m7.3.m"
